Date,AAPL,MSFT,NVDA,TSLA,AMZN,META,GOOGL
2021-11-15,146.91802978515625,324.5817565917969,29.963285446166992,337.7966613769531,177.28399658203125,345.1490478515625,147.33872985839844
2021-11-16,147.8974609375,327.9042053222656,30.14091682434082,351.57666015625,177.03500366210938,340.58087158203125,146.76708984375
2021-11-17,150.3362579345703,328.12664794921875,29.200851440429688,363.0033264160156,177.4499969482422,338.4061584472656,146.936767578125
2021-11-18,154.62631225585938,330.2070007324219,31.609886169433594,365.4599914550781,184.80299377441406,336.34051513671875,148.71485900878906
2021-11-19,157.25125122070312,331.98736572265625,32.917205810546875,379.0199890136719,183.82850646972656,342.9046936035156,147.8096923828125
2021-11-22,157.7115936279297,328.81365966796875,31.89031219482422,385.6233215332031,178.6284942626953,338.6444396972656,145.2048797607422
2021-11-23,158.0935821533203,326.73333740234375,31.680744171142578,369.6766662597656,179.0019989013672,334.9105529785156,144.6887664794922
2021-11-24,158.61270141601562,326.9559631347656,32.60684585571289,372.0,179.02049255371094,338.69415283203125,145.02423095703125
2021-11-26,153.58807373046875,318.9927673339844,31.43824577331543,360.6400146484375,175.22799682617188,330.8092346191406,141.11676025390625
2021-11-29,156.9476318359375,325.7174377441406,33.30739212036133,378.9966735839844,178.07850646972656,335.68511962890625,144.43914794921875
2021-11-30,161.90365600585938,319.873291015625,32.60884094238281,381.586669921875,175.35350036621094,322.209228515625,140.8334197998047
2021-12-01,161.3845672607422,319.37969970703125,31.374223709106445,365.0,172.18600463867188,308.4454040527344,139.9937286376953
2021-12-02,160.39529418945312,318.8089294433594,32.06388854980469,361.5333251953125,171.8679962158203,308.2369079589844,141.8938751220703
2021-12-03,158.51475524902344,312.5389099121094,30.633665084838867,338.3233337402344,169.489501953125,304.7114562988281,140.93663024902344
2021-12-06,161.92324829101562,315.6158752441406,29.978925704956055,336.336669921875,171.36849975585938,315.6650085449219,142.0814666748047
2021-12-07,167.662841796875,324.0628662109375,32.36430358886719,350.5833435058594,176.1645050048828,320.5707092285156,146.16513061523438
2021-12-08,171.4827423095703,324.1112060546875,31.764469146728516,356.32000732421875,176.1580047607422,328.2669372558594,147.07521057128906
2021-12-09,170.97340393066406,322.3018798828125,30.431049346923828,334.6000061035156,174.17100524902344,327.5320739746094,146.53134155273438
2021-12-10,175.7628936767578,331.4358215332031,30.139616012573242,339.010009765625,172.21200561523438,327.46258544921875,146.89161682128906
2021-12-13,172.12921142578125,328.3975830078125,28.106557846069336,322.13665771484375,169.5675048828125,332.169677734375,144.73292541503906
2021-12-14,170.7481231689453,317.6961669921875,28.282217025756836,319.5033264160156,169.0915069580078,331.4248962402344,142.8278350830078
2021-12-15,175.6160125732422,323.8016662597656,30.400110244750977,325.3299865722656,173.31500244140625,339.2899475097656,145.3428192138672
2021-12-16,168.7206268310547,314.36767578125,28.33211898803711,308.97332763671875,168.87100219726562,332.57684326171875,143.36180114746094
2021-12-17,167.6236572265625,313.3033447265625,27.74725341796875,310.8566589355469,170.0175018310547,331.4745788574219,140.66221618652344
2021-12-20,166.26220703125,309.53936767578125,27.66541290283203,299.9800109863281,167.07899475097656,323.1924133300781,140.54507446289062
2021-12-21,169.4356689453125,316.6802062988281,29.018787384033203,312.84332275390625,170.41700744628906,331.8817138671875,142.39659118652344
2021-12-22,172.03121948242188,322.398681640625,29.343158721923828,336.2900085449219,171.03700256347656,328.15771484375,145.3170166015625
2021-12-23,172.65805053710938,323.8403015136719,29.58269691467285,355.6666564941406,171.06849670410156,332.9144592285156,145.81475830078125
2021-12-27,176.62486267089844,331.3487854003906,30.885173797607422,364.64666748046875,169.66949462890625,343.778564453125,146.7973175048828
2021-12-28,175.606201171875,330.18768310546875,30.263378143310547,362.8233337402344,170.66099548339844,343.81829833984375,145.5869903564453
2021-12-29,175.69436645507812,330.8650207519531,29.9429931640625,362.0633239746094,169.2010040283203,340.5611267089844,145.5552215576172
2021-12-30,174.53860473632812,328.3202209472656,29.5288028717041,356.7799987792969,168.64450073242188,341.97119140625,145.1041259765625
2021-12-31,173.9215545654297,325.41754150390625,29.354137420654297,352.260009765625,166.7169952392578,334.016845703125,143.76576232910156
2022-01-03,178.2703094482422,323.89837646484375,30.06276512145996,399.9266662597656,170.4044952392578,336.1916198730469,143.90420532226562
2022-01-04,176.00778198242188,318.3445129394531,29.23337173461914,383.1966552734375,167.52200317382812,334.1955261230469,143.316650390625
2022-01-05,171.3260040283203,306.1239318847656,27.55063247680664,362.7066650390625,164.35699462890625,321.9212951660156,136.74179077148438
2022-01-06,168.4659881591797,303.7049560546875,28.12352180480957,354.8999938964844,163.25399780273438,330.1537780761719,136.71450805664062
2022-01-07,168.63247680664062,303.85968017578125,27.194320678710938,342.32000732421875,162.5540008544922,329.4884338378906,135.98948669433594
2022-01-10,168.65211486816406,304.0822448730469,27.347021102905273,352.7066650390625,161.48599243164062,325.7942199707031,137.6295928955078
2022-01-11,171.4827423095703,304.769287109375,27.763219833374023,354.79998779296875,165.36199951171875,332.0505065917969,138.6881103515625
2022-01-12,171.9234619140625,307.95257568359375,27.94487190246582,368.739990234375,165.20700073242188,330.9482421875,140.36988830566406
2022-01-13,168.65211486816406,294.9192810058594,26.523622512817383,343.85333251953125,161.21400451660156,324.21527099609375,137.54774475097656
2022-01-14,169.51400756835938,300.14422607421875,26.889909744262695,349.8699951171875,162.13800048828125,329.59765625,138.4345245361328
2022-01-18,166.3112030029297,292.83892822265625,25.85291862487793,343.5033264160156,158.91749572753906,315.94305419921875,134.97813415527344
2022-01-19,162.81454467773438,293.4969177246094,25.018539428710938,331.8833312988281,156.2989959716797,317.373046875,134.10325622558594
2022-01-20,161.1298828125,291.8230285644531,24.103309631347656,332.0899963378906,151.66749572753906,314.3641052246094,132.30780029296875
2022-01-21,159.07302856445312,286.4336242675781,23.32880973815918,314.6333312988281,142.64300537109375,301.06695556640625,129.37400817871094
2022-01-24,158.29925537109375,286.7625732421875,23.326812744140625,310.0,144.54400634765625,306.5685729980469,129.82308959960938
2022-01-25,156.4970703125,279.13800048828125,22.280838012695312,306.1333312988281,139.98599243164062,298.0679626464844,125.98309326171875
2022-01-26,156.40890502929688,287.09149169921875,22.72797393798828,312.4700012207031,138.87249755859375,292.5862121582031,128.26385498046875
2022-01-27,155.9485626220703,290.12005615234375,21.90157699584961,276.3666687011719,139.6374969482422,292.59613037109375,128.03758239746094
2022-01-28,166.83029174804688,298.2671203613281,22.795841217041016,282.1166687011719,143.97799682617188,299.6170654296875,132.3509979248047
