,AAPL,MSFT,NVDA,TSLA,AMZN,META,GOOGL
2019-01-17,119284800,28393000,493436000,55150500,84178000,15787900,24896000
2019-01-18,135004000,37427600,651336000,362262000,120410000,31029600,44892000
2019-01-22,121576000,32371300,661552000,181000500,128336000,22378700,39632000
2019-01-23,92522400,25874300,591020000,187950000,104504000,20098400,25194000
2019-01-24,101766000,23164800,708972000,120183000,81798000,20955500,29114000
2019-01-25,134142000,31225600,1154572000,108744000,98918000,22237200,23260000
2019-01-28,104768400,29476700,2511528000,96349500,96754000,15508500,29334000
2019-01-29,166348800,31490500,1153932000,69325500,92656000,17632100,19704000
2019-01-30,244439200,49471900,974228000,168754500,115676000,44613200,29452000
2019-01-31,162958400,55636400,842852000,188538000,218206000,77233600,40232000
2019-02-01,130672400,35535700,625048000,109251000,230124000,30806500,33116000
2019-02-04,125982000,31315100,528592000,110281500,98582000,20036000,78408000
2019-02-05,144406400,27325400,542424000,101142000,89062000,22557000,82296000
2019-02-06,112958400,20609800,702464000,75577500,78798000,13281200,48256000
2019-02-07,126966800,29760700,637120000,97809000,92532000,17517600,38298000
2019-02-08,95280000,21461100,461604000,87663000,113150000,12561400,21766000
2019-02-11,83973600,18914100,495180000,106945500,66346000,12811200,18498000
2019-02-12,89134000,25056600,591060000,82764000,97172000,16292300,35036000
2019-02-13,89960800,18394900,605372000,77124000,71206000,14205100,28042000
2019-02-14,87342800,21784700,827264000,78012000,82410000,12755200,21106000
2019-02-15,98507200,26606900,1516748000,58573500,86878000,15504400,27826000
2019-02-19,75891200,18038500,551892000,62526000,73634000,14345400,21980000
2019-02-20,104457600,21607700,540988000,107131500,66752000,11770700,24090000
2019-02-21,68998800,29063200,448548000,133638000,69668000,15607800,33272000
2019-02-22,75652800,27763200,401740000,86109000,61924000,15858500,29436000
2019-02-25,87493600,23750600,656020000,99397500,63690000,18737100,26208000
2019-02-26,68280800,21536700,488464000,128737500,53316000,13784100,35026000
2019-02-27,111341600,21487100,500256000,167758500,62976000,12697500,22092000
2019-02-28,112861600,29083900,324944000,157810500,60518000,11114200,27422000
2019-03-01,103544800,23501200,357188000,343671000,99498000,11097800,34086000
2019-03-04,109744800,26608000,409992000,256452000,123348000,18894700,35490000
2019-03-05,78949600,19538300,362924000,281470500,73630000,28187900,40094000
2019-03-06,83241600,17687000,403524000,155032500,79920000,21531700,23602000
2019-03-07,99185600,25339000,450104000,141637500,99140000,18306500,30086000
2019-03-08,95997600,22818400,422416000,132294000,93340000,13184800,23694000
2019-03-11,128044000,26491600,859728000,110884500,77528000,18884000,30032000
2019-03-12,129870400,26132700,579576000,112561500,72290000,12155300,42220000
2019-03-13,124130000,35513800,768900000,102670500,71040000,11973300,25888000
2019-03-14,94318000,30763400,519384000,106551000,58932000,18037400,27302000
2019-03-15,156171600,54681100,661484000,221782500,151018000,37135400,51886000
2019-03-18,104879200,31207600,486992000,154215000,108582000,37524200,24442000
2019-03-19,126585600,37588700,854972000,177009000,127284000,25611500,29788000
2019-03-20,124140800,28113300,719148000,103623000,125312000,20211500,41508000
2019-03-21,204136800,29854400,824312000,89206500,115356000,16223000,28150000
2019-03-22,169630800,33624500,747644000,131184000,127260000,16389200,34422000
2019-03-25,175381200,27067100,525212000,153225000,102076000,12631200,27576000
2019-03-26,199202000,26097700,703508000,110263500,97318000,15437900,30752000
2019-03-27,119393600,22733400,474372000,131688000,86496000,10620300,29428000
2019-03-28,83121600,18334800,480264000,101611500,60860000,10443000,22402000
2019-03-29,94256000,25399800,456896000,89869500,66416000,13455500,30890000
2019-04-01,111448000,22789100,483824000,121656000,84776000,10381500,27706000
2019-04-02,91062800,18142300,440920000,82183500,68962000,23946500,18288000
2019-04-03,93087200,22860700,783504000,118791000,78522000,27391100,22180000
2019-04-04,76457200,20112800,457376000,355810500,72478000,17847700,21022000
2019-04-05,74106400,15826200,481744000,195574500,72810000,9594100,20012000
2019-04-08,103526800,15116200,424192000,156156000,75056000,7297400,21750000
2019-04-09,143072800,17612000,439972000,88560000,74288000,19751000,19668000
2019-04-10,86781200,16477200,444772000,105919500,59280000,11701500,15510000
2019-04-11,83603200,14209100,374600000,147538500,53096000,8071000,16998000
2019-04-12,111042800,19745100,471708000,101190000,62288000,12329800,24312000
2019-04-15,70146400,15792600,440092000,150579000,74488000,10834800,23796000
2019-04-16,102785600,14071800,394964000,109093500,60892000,11215200,22622000
2019-04-17,115627200,19300900,351004000,76897500,57870000,9973700,30366000
2019-04-18,96783200,27991000,380988000,88144500,54998000,11655600,24750000
2019-04-22,77758000,15648700,279936000,182206500,67476000,13389900,19084000
2019-04-23,93292000,24025500,346856000,164158500,92808000,19954800,31868000
2019-04-24,70162400,31257000,318204000,160912500,73516000,37289900,23396000
2019-04-25,74172800,38033900,499296000,327741000,121982000,54148800,31344000
2019-04-26,74596400,23654900,868988000,335410500,168652000,22075000,27228000
2019-04-29,88818800,16324200,391920000,250717500,80426000,19641300,72368000
2019-04-30,186139600,24166500,362920000,141969000,70120000,23494700,133178000
2019-05-01,259309200,26821700,354280000,160566000,62340000,15996600,74340000
2019-05-02,127985200,27350200,394684000,272389500,79258000,13209500,45098000
2019-05-03,83569600,24911100,336824000,355602000,127632000,14575400,41588000
2019-05-06,129772400,24239800,422176000,162508500,108356000,13994900,31774000
2019-05-07,155054800,36017700,555220000,151971000,118042000,16253000,36604000
2019-05-08,105358000,28419000,419168000,92646000,81572000,12505700,25520000
2019-05-09,139634400,27235800,660248000,100671000,106166000,12967000,29556000
2019-05-10,164834800,30915100,569500000,105124500,114360000,12578500,31650000
2019-05-13,229722400,33944900,656912000,162522000,115668000,16833300,45626000
2019-05-14,146118800,25266300,524880000,108786000,92582000,17628100,40392000
2019-05-15,106178800,24722700,502320000,109440000,93852000,16746900,59302000
2019-05-16,132125600,30112200,781088000,112249500,94156000,12953100,35308000
2019-05-17,131516400,25770500,1022068000,266800500,94732000,10485400,25362000
2019-05-20,154449200,23706900,572064000,307893000,75964000,10352000,30602000
2019-05-21,113459200,15293300,361848000,270058500,80102000,7502800,20562000
2019-05-22,118994400,15396500,325868000,280278000,58732000,9213800,18826000
2019-05-23,146118800,23603800,591844000,398206500,88486000,12768800,25214000
2019-05-24,94858800,14123400,357584000,212049000,67394000,8807700,18554000
2019-05-28,111792800,23128400,428356000,154693500,64000000,14843300,20948000
2019-05-29,113924800,22763100,559800000,179529000,85580000,12797700,36230000
2019-05-30,84873600,16829600,394300000,118897500,62938000,8581500,18088000
2019-05-31,108174400,26646800,389720000,156100500,92376000,15226500,31582000
2019-06-03,161584400,37983600,478644000,195966000,181974000,56059600,96890000
2019-06-04,123872000,29382600,641836000,207112500,113582000,46044300,60512000
2019-06-05,119093600,24926100,511616000,202662000,84796000,19758300,46988000
2019-06-06,90105200,21459000,408140000,303633000,73786000,12446400,29020000
2019-06-07,122737600,33885600,348856000,240052500,96164000,16917300,43828000
2019-06-10,104883600,26477100,402780000,158775000,107420000,14767900,28510000
2019-06-11,107731600,23913700,383872000,174802500,80854000,15266600,33508000
2019-06-12,73012800,17092500,358892000,227962500,53566000,17699800,23670000
2019-06-13,86698400,17200800,308080000,122524500,55916000,12253600,20814000
2019-06-14,75046000,17821700,394428000,111501000,57024000,16773700,24582000
2019-06-17,58676400,14517800,276040000,184752000,52686000,29459900,19770000
2019-06-18,106204000,25934500,581920000,190737000,77914000,37571400,34526000
2019-06-19,84496800,23744400,331644000,98626500,57906000,21417100,26714000
2019-06-20,86056000,33042600,350168000,177952500,64344000,14635700,24018000
2019-06-21,191202400,36727900,434428000,123031500,78672000,22751200,50774000
2019-06-24,72881600,20628800,282948000,86262000,45660000,15509000,24236000
2019-06-25,84281200,33327400,311868000,92731500,60246000,16750300,31644000
2019-06-26,104270000,23657700,584072000,127608000,48838000,12808600,34698000
